,Logistic Regression_Army,Logistic Regression_Marine,Multinomial Naive Bayes_Army,Multinomial Naive Bayes_Marine,Random Forest_Army,Random Forest_Marine,Gradient Boosting_Army,Gradient Boosting_Marine
work,0.0,1.1367448406797152,0.0,6.8059760960700455,0.004573985886332688,0.004573985886332688,0.0,0.0
notifying,0.05593248269325274,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
nugget,0.04297488027130131,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
take,0.0,0.0,0.0,0.0,0.003888333665428546,0.003888333665428546,0.008486119279966385,0.008486119279966385
good,0.0,0.18117348047422244,0.0,7.023301215081587,0.0,0.0,0.0,0.0
want,0.0,0.32497534142390994,0.0,7.011816655352757,0.0,0.0,0.0,0.0
nov,0.1631813347407442,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
notify,0.04336351345049483,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
fleet,0.0,0.0,0.0,0.0,0.0,0.0,0.01568303494849866,0.01568303494849866
com,0.0,0.0,0.0,0.0,0.0059139762792351815,0.0059139762792351815,0.023441373259880778,0.023441373259880778
story,0.0,0.0,0.0,0.0,0.004752527815736131,0.004752527815736131,0.0,0.0
guy,0.0,1.1073499019531652,0.0,6.840377423278927,0.004466530546966081,0.004466530546966081,0.0,0.0
soldier,0.0,0.0,0.0,0.0,0.0,0.0,0.012821527317117744,0.012821527317117744
year,0.0,0.9259571416209951,0.0,6.912250721699543,0.0,0.0,0.0,0.0
nuke,0.0717443550861539,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
corp,0.0,1.4531157846560239,0.0,7.019641297909166,0.010999111333465001,0.010999111333465001,0.0,0.0
speak,0.0,0.0,0.0,0.0,0.0039389972599733975,0.0039389972599733975,0.010123101105384873,0.010123101105384873
amp,0.0,0.6443988968775195,0.0,6.825904461300482,0.0,0.0,0.0,0.0
looking,0.0,0.0,0.0,0.0,0.0,0.0,0.007909464627233636,0.007909464627233636
numb,0.18790178514783368,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
would,0.0,0.009882288930505799,0.0,6.731601631961055,0.0,0.0,0.0,0.0
devil,0.0,0.0,0.0,0.0,0.010187199754234304,0.010187199754234304,0.03364222384920879,0.03364222384920879
_a,0.04074690455057352,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
ntc,0.2811549817777142,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
get,0.0,1.1184894479990648,0.0,6.748643420064043,0.006402605045465101,0.006402605045465101,0.0,0.0
pendleton,0.0,0.0,0.0,0.0,0.0,0.0,0.01579991600253302,0.01579991600253302
ait,0.0,0.0,0.0,0.0,0.0,0.0,0.013675053126159038,0.013675053126159038
cpl,0.0,0.0,0.0,0.0,0.005454608289968344,0.005454608289968344,0.013397954689263582,0.013397954689263582
obtained,0.013532383063428598,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
anyone,0.0,0.422915568511974,0.0,6.690372082197403,0.0,0.0,0.0,0.0
nose,0.009712885502647118,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
back,0.0,0.34981284283023606,0.0,6.984646037933971,0.0,0.0,0.0,0.0
army,0.0,0.0,0.0,0.0,0.014435871912056236,0.014435871912056236,0.12087777307330615,0.12087777307330615
go,0.0,0.03138221835953438,0.0,6.85830551303321,0.0,0.0,0.0,0.0
time,0.0,0.48823573254661995,0.0,7.111521093662971,0.0,0.0,0.0,0.0
like,0.0,0.7935928487961778,0.0,6.474782599165625,0.00436517810439417,0.00436517810439417,0.0,0.0
nj,0.0850935081997534,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
think,0.0,0.8501862396709873,0.0,7.049000501891495,0.004620895427342969,0.004620895427342969,0.0,0.0
oad,0.06011518029085824,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
notified,0.10713597483368857,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
know,0.0,0.38089425165935253,0.0,6.704988875263741,0.0,0.0,0.0,0.0
usmc,0.0,0.0,0.0,0.0,0.010416650481652311,0.010416650481652311,0.02147998622525014,0.02147998622525014
order,0.0,0.6610785797328289,0.0,7.1442742746713925,0.006021300270907281,0.006021300270907281,0.0,0.0
nurse,0.08388556461694006,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
marine,0.0,4.327723834445572,0.0,6.1607212803192395,0.046391767865627126,0.046391767865627126,0.2502657472830982,0.2502657472830982
nominated,0.043449617339967585,0.0,8.792007671674442,0.0,0.0,0.0,0.0,0.0
